districtNew,sectionNew,subsectionNew,landNumberNew,districtOld,sectionOld,subsectionOld,landNumberOld
鶯歌區,三鶯,,3260000,鶯歌區,南靖厝,,3390208
鶯歌區,三鶯,,3270000,鶯歌區,南靖厝,,3390207
鶯歌區,三鶯,,3280000,鶯歌區,南靖厝,,3390206
鶯歌區,三鶯,,3290000,鶯歌區,南靖厝,,3390205
鶯歌區,三鶯,,330000,鶯歌區,南靖厝,,3200002
鶯歌區,三鶯,,3300000,鶯歌區,南靖厝,,3390204
鶯歌區,三鶯,,3310000,鶯歌區,南靖厝,,3390203
鶯歌區,三鶯,,3320000,鶯歌區,南靖厝,,3390202
鶯歌區,三鶯,,3330000,鶯歌區,南靖厝,,3390201
鶯歌區,三鶯,,3340000,鶯歌區,南靖厝,,3390025
鶯歌區,三鶯,,3350000,鶯歌區,南靖厝,,3390047
鶯歌區,三鶯,,3360000,鶯歌區,南靖厝,,3390048
鶯歌區,三鶯,,3370000,鶯歌區,南靖厝,,3390026
鶯歌區,三鶯,,3380000,鶯歌區,南靖厝,,3390032
鶯歌區,三鶯,,3390000,鶯歌區,南靖厝,,4500000
鶯歌區,三鶯,,340000,鶯歌區,南靖厝,,3220000
鶯歌區,三鶯,,3400000,鶯歌區,南靖厝,,4510000
鶯歌區,三鶯,,3410000,鶯歌區,南靖厝,,3390118
鶯歌區,三鶯,,3420000,鶯歌區,南靖厝,,3390117
鶯歌區,三鶯,,3430000,鶯歌區,南靖厝,,3390116
鶯歌區,三鶯,,3440000,鶯歌區,南靖厝,,3390115
鶯歌區,三鶯,,3450000,鶯歌區,南靖厝,,3390114
鶯歌區,三鶯,,3460000,鶯歌區,南靖厝,,3390113
鶯歌區,三鶯,,3470000,鶯歌區,南靖厝,,3390112
鶯歌區,三鶯,,3480000,鶯歌區,南靖厝,,3390111
鶯歌區,三鶯,,3490000,鶯歌區,南靖厝,,3390110
鶯歌區,三鶯,,350000,鶯歌區,南靖厝,,3200000
鶯歌區,三鶯,,3500000,鶯歌區,南靖厝,,3390109
鶯歌區,三鶯,,3510000,鶯歌區,南靖厝,,3390108
鶯歌區,三鶯,,3520000,鶯歌區,南靖厝,,3390107
鶯歌區,三鶯,,3530000,鶯歌區,南靖厝,,3390106
鶯歌區,三鶯,,3540000,鶯歌區,南靖厝,,3390105
鶯歌區,三鶯,,3550000,鶯歌區,南靖厝,,3390104
鶯歌區,三鶯,,3560000,鶯歌區,南靖厝,,3390033
鶯歌區,三鶯,,3580000,鶯歌區,南靖厝,,3390050
鶯歌區,三鶯,,3590000,鶯歌區,南靖厝,,3390119
鶯歌區,三鶯,,360000,鶯歌區,南靖厝,,3170003
鶯歌區,三鶯,,3600000,鶯歌區,南靖厝,,3390052
鶯歌區,三鶯,,3610000,鶯歌區,南靖厝,,3390250
鶯歌區,三鶯,,3620000,鶯歌區,南靖厝,,3390249
鶯歌區,三鶯,,3630000,鶯歌區,南靖厝,,3390011
鶯歌區,三鶯,,3640000,鶯歌區,南靖厝,,3390223
鶯歌區,三鶯,,3650000,鶯歌區,南靖厝,,3390219
鶯歌區,三鶯,,3660000,鶯歌區,南靖厝,,3390236
鶯歌區,三鶯,,3670000,鶯歌區,南靖厝,,3390124
鶯歌區,三鶯,,3680000,鶯歌區,南靖厝,,4520000
鶯歌區,三鶯,,3690000,鶯歌區,南靖厝,,4530000
鶯歌區,三鶯,,370000,鶯歌區,南靖厝,,3170002
鶯歌區,三鶯,,3700000,鶯歌區,南靖厝,,4540000
鶯歌區,三鶯,,3710000,鶯歌區,南靖厝,,4540001
鶯歌區,三鶯,,3720000,鶯歌區,南靖厝,,3390034
鶯歌區,三鶯,,3730000,鶯歌區,南靖厝,,3390248
鶯歌區,三鶯,,3740000,鶯歌區,南靖厝,,3390275
鶯歌區,三鶯,,3750000,鶯歌區,南靖厝,,3390277
鶯歌區,三鶯,,3760000,鶯歌區,南靖厝,,3390247
鶯歌區,三鶯,,3770000,鶯歌區,南靖厝,,3390278
鶯歌區,三鶯,,3780000,鶯歌區,南靖厝,,3390012
鶯歌區,三鶯,,3790000,鶯歌區,南靖厝,,3390246
鶯歌區,三鶯,,380000,鶯歌區,南靖厝,,3170001
鶯歌區,三鶯,,3800000,鶯歌區,南靖厝,,3390058
鶯歌區,三鶯,,3810000,鶯歌區,南靖厝,,3390227
鶯歌區,三鶯,,3820000,鶯歌區,南靖厝,,3390200
鶯歌區,三鶯,,3830000,鶯歌區,南靖厝,,3390126
鶯歌區,三鶯,,3840000,鶯歌區,南靖厝,,3390177
鶯歌區,三鶯,,3850000,鶯歌區,南靖厝,,3390176
鶯歌區,三鶯,,3860000,鶯歌區,南靖厝,,3390175
鶯歌區,三鶯,,3870000,鶯歌區,南靖厝,,3390174
鶯歌區,三鶯,,3880000,鶯歌區,南靖厝,,3390173
鶯歌區,三鶯,,3890000,鶯歌區,南靖厝,,3390172
鶯歌區,三鶯,,390000,鶯歌區,南靖厝,,3170000
鶯歌區,三鶯,,3900000,鶯歌區,南靖厝,,3390171
鶯歌區,三鶯,,3910000,鶯歌區,南靖厝,,3390170
鶯歌區,三鶯,,3920000,鶯歌區,南靖厝,,3390169
鶯歌區,三鶯,,3930000,鶯歌區,南靖厝,,3390168
鶯歌區,三鶯,,3940000,鶯歌區,南靖厝,,3390187
鶯歌區,三鶯,,3950000,鶯歌區,南靖厝,,3390183
鶯歌區,三鶯,,3960000,鶯歌區,南靖厝,,3390100
鶯歌區,三鶯,,3970000,鶯歌區,南靖厝,,3390182
鶯歌區,三鶯,,3980000,鶯歌區,南靖厝,,3390167
鶯歌區,三鶯,,3990000,鶯歌區,南靖厝,,3390166
鶯歌區,三鶯,,40000,鶯歌區,南靖厝,,2980001
鶯歌區,三鶯,,400000,鶯歌區,南靖厝,,3180001
鶯歌區,三鶯,,4000000,鶯歌區,南靖厝,,3390185
鶯歌區,三鶯,,4010000,鶯歌區,南靖厝,,3390125
鶯歌區,三鶯,,4020000,鶯歌區,南靖厝,,3390179
鶯歌區,三鶯,,4030000,鶯歌區,南靖厝,,3390165
鶯歌區,三鶯,,4040000,鶯歌區,南靖厝,,3390164
鶯歌區,三鶯,,4050000,鶯歌區,南靖厝,,3390178
鶯歌區,三鶯,,4060000,鶯歌區,南靖厝,,3390181
鶯歌區,三鶯,,4070000,鶯歌區,南靖厝,,3390163
鶯歌區,三鶯,,4080000,鶯歌區,南靖厝,,3390162
鶯歌區,三鶯,,4090000,鶯歌區,南靖厝,,3390161
鶯歌區,三鶯,,410000,鶯歌區,南靖厝,,3100002
鶯歌區,三鶯,,4100000,鶯歌區,南靖厝,,3390160
鶯歌區,三鶯,,4110000,鶯歌區,南靖厝,,3390159
鶯歌區,三鶯,,4120000,鶯歌區,南靖厝,,3390234
鶯歌區,三鶯,,4130000,鶯歌區,南靖厝,,3390099
鶯歌區,三鶯,,4140000,鶯歌區,南靖厝,,3390184
鶯歌區,三鶯,,4150000,鶯歌區,南靖厝,,3390180
鶯歌區,三鶯,,4160000,鶯歌區,南靖厝,,3390280
鶯歌區,三鶯,,4170000,鶯歌區,南靖厝,,3390098
鶯歌區,三鶯,,4180000,鶯歌區,南靖厝,,3390134
鶯歌區,三鶯,,4190000,鶯歌區,南靖厝,,3390135
鶯歌區,三鶯,,420000,鶯歌區,南靖厝,,3100004
鶯歌區,三鶯,,4200000,鶯歌區,南靖厝,,3390138
鶯歌區,三鶯,,4210000,鶯歌區,南靖厝,,3390139
鶯歌區,三鶯,,4220000,鶯歌區,南靖厝,,3390136
鶯歌區,三鶯,,4230000,鶯歌區,南靖厝,,3390137
鶯歌區,三鶯,,4240000,鶯歌區,南靖厝,,3390272
鶯歌區,三鶯,,4250000,鶯歌區,南靖厝,,3390286
鶯歌區,三鶯,,4260000,鶯歌區,南靖厝,,3390279
鶯歌區,三鶯,,4270000,鶯歌區,南靖厝,,3390273
鶯歌區,三鶯,,4280000,鶯歌區,南靖厝,,760255
鶯歌區,三鶯,,4290000,鶯歌區,南靖厝,,760314
鶯歌區,三鶯,,430000,鶯歌區,南靖厝,,3180000
鶯歌區,三鶯,,4300000,鶯歌區,南靖厝,,760315
鶯歌區,三鶯,,4310000,鶯歌區,南靖厝,,760254
鶯歌區,三鶯,,4320000,鶯歌區,南靖厝,,3390186
鶯歌區,三鶯,,4330000,鶯歌區,南靖厝,,3390199
鶯歌區,三鶯,,4340000,鶯歌區,南靖厝,,3390252
鶯歌區,三鶯,,4350000,鶯歌區,南靖厝,,3390243
鶯歌區,三鶯,,4360000,鶯歌區,南靖厝,,3390244
鶯歌區,三鶯,,4370000,鶯歌區,南靖厝,,3390253
鶯歌區,三鶯,,4380000,鶯歌區,南靖厝,,3390053
鶯歌區,三鶯,,4390000,鶯歌區,南靖厝,,3390054
鶯歌區,三鶯,,440000,鶯歌區,南靖厝,,2980002
鶯歌區,三鶯,,4410000,鶯歌區,南靖厝,,3390051
鶯歌區,三鶯,,4420000,鶯歌區,南靖厝,,3390049
鶯歌區,三鶯,,4430000,鶯歌區,南靖厝,,3390008
鶯歌區,三鶯,,4440000,鶯歌區,南靖厝,,3390009
鶯歌區,三鶯,,4460000,鶯歌區,南靖厝,,3420023
鶯歌區,三鶯,,4470000,鶯歌區,南靖厝,,3420024
鶯歌區,三鶯,,4480000,鶯歌區,南靖厝,,3390010
鶯歌區,三鶯,,4490000,鶯歌區,南靖厝,,3390282
鶯歌區,三鶯,,450000,鶯歌區,南靖厝,,3160001
鶯歌區,三鶯,,4500000,鶯歌區,南靖厝,,3390281
鶯歌區,三鶯,,4510000,鶯歌區,南靖厝,,3390283
鶯歌區,三鶯,,4520000,鶯歌區,南靖厝,,3390120
鶯歌區,三鶯,,4530000,鶯歌區,南靖厝,,3390222
鶯歌區,三鶯,,4540000,鶯歌區,南靖厝,,3390267
鶯歌區,三鶯,,4550000,鶯歌區,南靖厝,,3390284
鶯歌區,三鶯,,4560000,鶯歌區,南靖厝,,3390193
鶯歌區,三鶯,,4570000,鶯歌區,南靖厝,,3390194
